Key,Value
MCCLINTOCK BUILDING ,6
BANK OF AMERICA ,6
HOFFMAN CONTRACTS RESEARCH BUILDING ,6
JEFFERSON BUILDING ,6
LAIRD J. STABLER MEMORIAL HALL ,6
JEFFERSON BL ,6
SCHOOL OF CINEMATIC ARTS-BLDG. I ,6
SOCIAL WORK CENTER ,6
HAZARD PARK ,6
35TH ST & GRAND AV ,6
MUSIC PRACTICE AND INSTRUCTIONAL ,6
37TH PL & VERMONT AV ,6
PHI DELTA THETA ,6
UNIVERSITY CLUB AT KING STOOPS HALL ,6
SIGMA CHI ,6
SEVERANCE ST APARTMENTS ,6
GAMMA EPSILON OMEGA ,5
SOCIAL SCIENCES BUILDING ,5
36TH ST & VERMONT AV ,5
SOTO ST & ALCAZAR ST ,5
DONALD P. & KATHERINE B. LOKER HYDROCARBON INSTITU ,5
KAPPA SIGMA ,5
28TH ST & HOOVER ST ,5
STARDUST APARTMENTS ,5
HUGHES AIRCRAFT ELECTRICAL ENGINEERING CENTER ,5
BIEGLER HALL OF ENGINEERING ,5
ADAMS BL & FLOWER ST ,5
FAIRMONT APARTMENTS ,5
BUDLONG AV ,5
ROBERT GLEN RAPP ENGINEERING RESEARCH BUILDING ,5
KAPPA ALPHA THETA ,5
ADAMS BL & PORTLAND ST ,5
SEVEN GABLES APARTMENTS ,5
HERITAGE HALL WEIGHT AND DINING FACILITY ,5
COLLEGE ACADEMIC SERVICES BUILDING ,5
HARLYNE J. NORRIS RESEARCH TOWER ,5
35TH ST & CATALINA ST ,5
MERLE NORMAN STADIUM ,5
SUBWAY ,5
ELLENDALE TROJAN APTS. ,5
HABITAT SOO ZEE ,5
PARKING LOT ,5
BLOOM WK & WATT WY ,5
DAVID X. MARKS TENNIS STADIUM ,5
EXPOSITION BL & VERMONT AV ,5
EXPOSITION PARK-ROSE GARDEN ,5
SAN PABLO ST & ALCAZAR ST ,5
FRESH AND EASY ,5
24TH ST ,4
PALISADES I ,4
29TH ST & VERMONT AV ,4
STONIER HALL ,4
ANNA BING ARNOLD CHILD CARE CENTER ,4
23RD ST & FLOWER ST ,4
JEFFERSON BL & FLOWER ST ,4
DELTA DELTA DELTA ,4
MUSIC PRACTICE AND INSTRUCTIONAL CENTER-USC LEASE ,4
TROJAN HEIGHTS ,4
ADAMS BL & TOBERMAN ST ,4
32ND ST & UNIVERSITY AV ,4
TOWN & GOWN ,4
CARL'S JR. ,4
JUVENILE HALL ,4
36TH ST & BUDLONG AV ,4
THE MIRAGE ,4
PANDA EXPRESS ,4
28TH ST & PORTLAND ST ,4
ZONAL LOT ,4
JOHN STAUFFER PHARMACEUTICAL SCIENCES CENTER ,4
JOINT EDUCATIONAL PROJECT HOUSE ,4
37TH PL & CATALINA ST ,4
OFF CAMPUS CHECK AREA E ,4
ADAMS BL & ST JAMES PL ,4
34TH ST & MCCLINTOCK AV ,4
OAK ST ,4
WINDSOR APARTMENTS ,4
34TH ST & WATT WY ,4
ELAINE & KENNETH LEVENTHAL SCHOOL OF ACCOUNTING ,4
SCENE DOCK THEATRE ,4
SAN PABLO ST & VALLEY BL ,4
SPUDNUTS ,4
CHARLES LEE POWELL HALL ,4
CHILDS WY & PARDEE WY ,4
ZILKHA NEUROGENETIC INSTITUTE ,4
MUDD MEMORIAL RESEARCH BUILDING ,4
JEFFERSON BL & GRAND AV ,4
SHRINE PARKING STRUCTURE ,4
ALPHA GAMMA DELTA ,4
OUTPATIENT SURGERY CENTER ,4
OFF CAMPUS CHECK AREA C ,4
FACILITIES TRAILER TWO ,4
MRS. WILLIS H. BOOTH FERRIS REHEARSAL HALL ,4
37TH ST & CATALINA ST ,4
DELTA GAMMA ,3
ST. MARKS LUTHERAN CHURCH ,3
37TH PL & FIGUEROA ST ,3
HILLEL JEWISH CENTER ,3
TEMPORARY RESEARCH FACILITY ,3
AHMANSON CENTER FOR BIOLOGICAL RESEARCH ,3
EXPOSITION BL ,3
MARKS TENNIS STADIUM COURT AREA ,3
COUNTY GENERAL HOSPITAL ,3
ALPHA DELTA CHI ,3
GAMMA PHI BETA ,3
21ST ST ,3
MCCULLOCK TOWNHOMES ,3
TROJANDALE ,3
WIDNEY ALUMNI HOUSE ,3
FIGUEROA ST ,3
MOBIL ,3
CARIBBEAN APARTMENTS ,3
MAX KADE CENTER ,3
MCCULLOCH TOWNHOMES ,3
CITY PARK II APTS. ,3
EXPOSITION BL & FLOWER ST ,3
PARKSIDE APARTMENTSI ,3
KAPPA KAPPA GAMMA ,3
33RD ST & HOPE ST ,3
SHRINE AUDITORIUM ,3
EILEEN L. NORRIS CINEMA THEATRE ,3
BELAIRE APARTMENTS ,3
ALPHA CHI OMEGA ,3
PACIFIC APARTMENTS ,3
MCKIBBEN ADDITION ,3
TROJAN TERRACE ,3
LENICIA B. WEEMES ELEMENTARY SCHOOL ,3
35TH ST & BUDLONG AV ,3
27TH ST & VERMONT AV ,3
ADAMS BL & ORCHARD ST ,3
PAD APTS ,3
MOON APTS ,3
32ND ST & SHRINE PL ,3
SAN PABLO ST & ZONAL AV ,3
VAGABOND MOTEL ,3
CENTURY APARTMENTS ALLEY ,3
DOWNEY WY & WATT WY ,3
NORRIS MEDICAL LIBRARY ,3
JERRY & NANCY NEELY PETROLEUM & CHEMICAL ENGINEERI ,3
TROJAN LIQUOR ,3
PARK GROVE AV ,3
27TH ST & HOOVER ST ,3
THE ROW NORTH ALLEY ,3
THE ROW SOUTH ALLEY ,3
37TH PL & WATT WY ,3
PI BETA PHI ,3
YOGURTLAND ,3
37TH ST & HOPE ST ,3
30TH ST & MCCLINTOCK AV ,3
HEDCO PETROLEUM & CHEMICAL ENGINEERING BUILDING ,3
27TH ST & MAGNOLIA ST ,3
UNIVERSITY REGENT ,3
CUMMINGS ST & ZONAL AV ,3
NORWOOD ST ,3
29TH ST & MENLO AV ,3
SCHOOL OF CINEMATIC ARTS-BLDG. B ,3
AVALON APARTMENTS ,2
37TH ST & FLOWER ST ,2
LAMBDA CH ,2
CENTER OF CAMPUS (HSC) ,2
SEVEN ELEVEN ,2
UNIVERSITY VILLAGE ONE ,2
OFF CAMPUS CHECK AREA D ,2
29TH ST & FIGUEROA ST ,2
23RD ST & PARK GROVE AV ,2
DUNES APTS. ,2
MEN LO AV ,2
DMV NEW ,2
JEFFERSON BL & BUDLONG AV ,2
EASTLAKE LOT ,2
MOUNT SAINT MARY'S ,2
BETA THETA PI ,2
DMV OLD ,2
SONI MCALISTER FIELD ,2
EL HUERO ,2
THE TOWER APARTMENTS ,2
CINEMA TELEVISION CENTER COMPLEX ,2
VAN BUREN PL ,2
VALLEY BOULEVARD BUILDING ,2
BETA OMEGA PHI ,2
23RD ST & HOOVER ST ,2
SAN PABLO ST & EASTLAKE AV ,2
UNIVERSITY VILLAGE SEVEN ,2
CHILDS WY & TROUSDALE PK ,2
CARDINAL 'N' GOLD ,2
DELTA SIGMA DELTA ,2
32ND STREET SCHOOL ,2
FELIX CHEVROLET ,2
SIGMA PHI DELTA ,2
JOHN TRACY CLINIC ,2
RADISSON HOTEL RESTAURANT ,2
THE SPOT ,2
DELTA TAU DELTA ,2
29TH ST & KENWOOD AV ,2
CHASE ,2
BING THEATRE ,2
30TH ST & SHRINE PL ,2
29TH ST & WALTON AV ,2
23RD ST & FIGUEROA ST ,2
PARKING LOT SSRI ,2
COLLEGE HOUSE ,2
USC EYE INSTITUTE ,2
HOOVER RECREATION CENTER ,2
JEFFERSON BL & VAN BUREN PL ,2
JEFFERSON BL & CATALINA ST ,2
HEBREW UNION COLLEGE ,2
PARKING LOT B ,2
DOWN EY WY & WATT WY ,2
MENLO TOWNHOUSE ,2
ADAMS BL & SCARFF ST ,2
CHILDS WY & MCCLINTOCK AV ,2
25TH ST & HOOVER ST ,2
28TH ST & FLOWER ST ,2
SPORTS ARENA ,2
